"Data Source","Type","Full Object Name","Object Name","Owner","Modified Date","Attributes","Entity Sources","Residencies","PII Count","Open Access","Number of Entities"
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Data_Science\PiyushSharma\s3notebook/ads10_vh_validation-datacheckforads9.ipynb","ads10_vh_validation-datacheckforads9.ipynb","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-18 18:54:27.385","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Data_Science\MandipShah\TU Audit/PRM.EDTOUT.DGMPROGF.FORMS.PFB2V080","PRM.EDTOUT.DGMPROGF.FORMS.PFB2V080","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-18 18:54:26.221","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Data_Science\MandipShah\TU Audit/PRM.EDTOUT.DGMPROGF.FORMS.PF7V004","PRM.EDTOUT.DGMPROGF.FORMS.PF7V004","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-18 18:54:26.220","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Data_Science\MandipShah\TU Audit/PRM.EDTOUT.DGMPROGF.FORMS.PF6K138","PRM.EDTOUT.DGMPROGF.FORMS.PF6K138","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-18 18:54:26.219","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Data_Science\MandipShah\TU Audit/PRM.EDTOUT.DGMPROGF.FORMS.PF6K134","PRM.EDTOUT.DGMPROGF.FORMS.PF6K134","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-18 18:54:26.219","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Data_Science\MandipShah\TU Audit/PRM.EDTOUT.DGMPROGF.FORMS.PF0V171C","PRM.EDTOUT.DGMPROGF.FORMS.PF0V171C","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-18 18:54:26.216","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Fraud\MichaelDong/mdong_ssn_90day_3time_v.sas7bdat","mdong_ssn_90day_3time_v.sas7bdat","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-18 18:49:41.481","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Fraud\MichaelDong/mdong_ssn_90day_2time_velocity.sas7bdat","mdong_ssn_90day_2time_velocity.sas7bdat","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-18 18:49:41.481","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Fraud\MichaelDong/mdong_ssn_9090day_2time_velocity.sas7bdat","mdong_ssn_9090day_2time_velocity.sas7bdat","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-18 18:49:41.478","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Fraud\MichaelDong/mdong_ssn_8585day_2time_velocity.sas7bdat","mdong_ssn_8585day_2time_velocity.sas7bdat","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-18 18:49:41.474","[classifier.Oportun SSN]",,,1,"No",
